class_idx,word,total,correct,accuracy,model
27,cousin,1,1,1.0,BiLSTM
30,dark,1,1,1.0,BiLSTM
35,drink,1,1,1.0,BiLSTM
15,can,1,1,1.0,BiLSTM
13,brown,1,1,1.0,BiLSTM
84,tall,1,1,1.0,BiLSTM
96,work,1,1,1.0,BiLSTM
93,white,1,1,1.0,BiLSTM
90,walk,1,1,1.0,BiLSTM
54,language,1,1,1.0,BiLSTM
58,like,1,1,1.0,BiLSTM
42,forget,1,1,1.0,BiLSTM
31,deaf,2,1,0.5,BiLSTM
87,thin,2,1,0.5,BiLSTM
72,play,2,1,0.5,BiLSTM
2,all,1,0,0.0,BiLSTM
6,before,1,0,0.0,BiLSTM
0,accident,1,0,0.0,BiLSTM
4,basketball,1,0,0.0,BiLSTM
8,birthday,1,0,0.0,BiLSTM
1,africa,1,0,0.0,BiLSTM
21,clothes,1,0,0.0,BiLSTM
23,computer,1,0,0.0,BiLSTM
25,cool,2,0,0.0,BiLSTM
26,corn,1,0,0.0,BiLSTM
14,but,1,0,0.0,BiLSTM
16,candy,1,0,0.0,BiLSTM
18,change,1,0,0.0,BiLSTM
20,city,1,0,0.0,BiLSTM
7,bird,1,0,0.0,BiLSTM
51,how,2,0,0.0,BiLSTM
53,kiss,2,0,0.0,BiLSTM
40,finish,1,0,0.0,BiLSTM
44,give,1,0,0.0,BiLSTM
49,help,1,0,0.0,BiLSTM
41,fish,1,0,0.0,BiLSTM
43,full,1,0,0.0,BiLSTM
71,pizza,2,0,0.0,BiLSTM
66,now,1,0,0.0,BiLSTM
65,no,1,0,0.0,BiLSTM
62,meet,1,0,0.0,BiLSTM
57,letter,1,0,0.0,BiLSTM
55,last,1,0,0.0,BiLSTM
76,same,1,0,0.0,BiLSTM
73,pull,1,0,0.0,BiLSTM
85,tell,1,0,0.0,BiLSTM
78,secretary,1,0,0.0,BiLSTM
74,purple,1,0,0.0,BiLSTM
91,want,1,0,0.0,BiLSTM
92,what,1,0,0.0,BiLSTM
94,who,1,0,0.0,BiLSTM
95,woman,1,0,0.0,BiLSTM
98,year,2,0,0.0,BiLSTM
3,apple,0,0,,BiLSTM
5,bed,0,0,,BiLSTM
9,black,0,0,,BiLSTM
10,blue,0,0,,BiLSTM
11,book,0,0,,BiLSTM
12,bowling,0,0,,BiLSTM
17,chair,0,0,,BiLSTM
19,cheat,0,0,,BiLSTM
22,color,0,0,,BiLSTM
24,cook,0,0,,BiLSTM
28,cow,0,0,,BiLSTM
29,dance,0,0,,BiLSTM
32,decide,0,0,,BiLSTM
33,doctor,0,0,,BiLSTM
34,dog,0,0,,BiLSTM
36,eat,0,0,,BiLSTM
37,enjoy,0,0,,BiLSTM
38,family,0,0,,BiLSTM
39,fine,0,0,,BiLSTM
45,go,0,0,,BiLSTM
46,graduate,0,0,,BiLSTM
47,hat,0,0,,BiLSTM
48,hearing,0,0,,BiLSTM
